store_nbr,product_nbr,tickets,sales,quantity_dimless
6,533625,373,3272202,330
3,924729,12,92354,12
5,477734,3841,6720990,4582
19,887807,172,172184,204
16,295437,736,452673,1083
10,746990,1,6126,1
17,831150,215,230287,238
16,300693,2025,2412857,2627
4,930952,357,173591,447
10,537408,1861,3845128,2316
11,528692,380,3568468,503
16,886563,1,2093,1
5,321625,136,244984,226
4,607210,10,13440,16
11,598110,74,129932,90
12,702135,1266,1913611,1451
11,4769,7,23471,7
13,292333,187,925300,149
13,979934,103,135240,161
0,299079,265,427076,297
11,377,97,112792,100
11,3071,722,1018026,618
10,934725,141,224452,158
5,537970,42,34408,46
7,578052,175,240618,168
3,937972,938,874147,1096
11,875,2,2168,2
10,280607,93,239503,120
2,573688,278,94299,323
13,574507,12,8820,15
18,595225,946,417600,1001
4,276894,136,254697,178
15,289547,50,324734,55
13,916308,215,128755,410
3,949523,74,328930,74
0,958431,21,173358,21
4,387204,44,30912,46
0,885991,30,55200,30
5,913810,303,540006,370
13,670987,295,519880,391
8,825843,56,36582,67
1,686589,923,937129,1310
5,981611,157,193971,179
10,299097,22,39272,26
10,920963,104,836986,118
3,5425,1924,5400382,2264
2,497498,10,21536,8
2,379439,1041,1165200,1152
5,825233,43,154746,44
0,954371,67,658373,70
13,823094,16,49601,17
5,835191,228,560922,306
13,643521,291,309651,380
5,292223,117,233443,133
13,587037,242,186533,270
13,486517,440,1097131,475
9,637049,713,2457690,772
5,683177,389,174759,483
17,658605,7,15072,6
10,292155,298,1087809,310
13,298047,1712,2062785,1810
15,509402,99,359596,100
15,335244,94,164704,102
15,904755,211,202106,244
13,992831,72,110038,110
3,851106,564,376064,649
5,5145,76,441570,78
17,266146,67,239527,69
8,996435,10,5460,10
15,742177,293,331113,412
15,1009927,8,37769,10
3,387160,4915,9390377,6235
4,271060,86,396619,88
3,722225,2222,15778274,2752
1,703210,154,143054,172
13,345919,299,237104,324
4,300827,442,582369,475
17,314575,641,684215,834
10,319799,402,1354302,426
10,1969,520,813919,869
2,800712,4,16772,4
0,526132,23,57799,23
3,401292,1442,1228285,2222
13,887700,115,388435,155
0,844953,94,60127,132
16,519936,73,212645,88
17,972559,660,442115,793
16,259242,1298,1039772,2034
10,648086,67,140848,76
9,293039,131,176364,152
0,838416,151,170392,165
0,711605,190,275394,194
6,387724,228,743098,284
17,348753,399,931834,424
10,929062,12,46963,12
17,518263,121,183387,126
3,703522,918,1672850,1049
9,661947,73,166276,75
13,333677,16,36144,18
2,774181,505,222318,880
9,295223,2821,866244,3381
0,554651,6,46998,7
10,669937,162,486769,182
10,268026,45,91635,47
11,774427,5,30216,8
15,269550,1,4193,1
0,431535,5801,4680862,6461
13,934389,49,236092,49
17,901738,57,50332,62
0,114582,138,730464,162
11,896660,96,131440,99
17,3543,206,769620,226
5,3763,24317,29011030,37249
16,902387,341,505788,376
15,954696,35,161826,35
0,984812,675,424712,831
5,2769,854,748453,1013
3,603625,17,38323,19
14,976035,14,44254,14
15,284551,68,58324,69
2,923169,16,26980,19
0,649952,17,189843,17
1,738063,34,99008,39
13,637359,108,169917,115
4,671535,627,784661,834
9,669933,370,488671,401
9,585146,3,23587,3
0,749855,415,333727,359
9,801166,187,574979,215
4,998742,21,45892,24
0,978586,18,82255,19
8,294145,2,6688,2
16,960977,35,68552,41
0,763052,1124,790227,1205
9,731857,241,179280,247
2,428380,50,35660,51
6,294759,102,244586,104
18,972623,55,38498,75
